credito,genero,educacao,estado_civil,idade,pgto_set,pgto_ago,pgto_jul,pgto_jun,pgto_mai,pgto_abr,fatura_set,fatura_ago,fatura_jul,pgto_amt_set,pgto_amt_ago,pgto_amt_jul,pgto_amt_jun,pgto_amt_mai,pgto_amt_abr,Y
230000,2,2,1,36,-2,-2,-2,-2,-2,-2,3786,2894,1200,2914,1406,2735,3241,913,0,0
70000,2,2,2,55,0,0,0,0,0,0,67572,58969,57625,2124,2311,1622,1674,1677,1697,0
360000,2,1,2,29,-2,-2,-2,-2,-2,-2,5041,7485,4480,2500,7740,3260,3884,4352,4509,0
100000,1,1,2,32,0,0,0,0,0,0,26127,26608,24689,2000,2000,1700,1500,1500,1700,0
500000,1,1,2,30,0,0,0,0,0,0,192257,201402,444462,40000,300018,15000,17000,15000,11100,0
30000,2,2,2,23,2,0,0,0,0,0,30558,30363,29077,1500,1600,1500,1000,3000,0,1
110000,1,2,1,38,2,2,2,0,0,2,96898,96071,93321,4826,5,4000,7300,0,4000,1
260000,1,1,2,29,1,2,-1,-1,-1,-2,56536,23827,29423,778,29423,10000,0,0,24450,0
300000,1,1,2,26,2,2,2,0,0,2,273138,279307,273333,12000,0,10000,12180,10000,10817,1
360000,2,1,2,35,1,-2,-2,-2,-2,-1,0,0,0,0,0,0,0,1392,12884,0
50000,1,3,3,59,0,0,0,0,0,0,50739,50142,18894,1500,1500,1000,1000,2000,1000,0
50000,1,2,2,25,0,-1,2,0,0,0,1552,2452,1878,2452,0,0,0,0,3000,0
50000,2,3,2,23,0,0,0,0,0,0,49385,49527,29550,1500,1467,1201,1236,1103,1042,0
50000,1,2,2,25,0,0,2,0,0,0,6302,7993,8506,1800,800,500,500,500,400,0
230000,1,1,1,38,-1,-1,-1,-1,-1,-1,1902,2161,1144,2170,1149,1352,1029,0,654,0
90000,1,1,2,33,-1,-1,-1,-1,-1,2,498,498,498,498,498,498,3482,0,483,0
200000,2,1,2,37,-1,-1,-1,-1,0,-1,11211,12329,11846,12329,11846,25924,161,8521,5538,0
20000,1,2,2,38,0,0,0,0,0,0,19845,18245,17658,1694,1368,547,504,347,6000,0
170000,1,3,1,51,0,0,0,0,0,0,55396,56493,55594,8000,6000,1709,1645,1653,1725,0
90000,1,2,3,40,0,0,0,0,-1,-1,106947,71111,25286,1965,5064,5007,3788,390,390,0
20000,2,1,2,26,-1,-1,-1,-1,-1,0,11030,5331,20985,5331,20985,6932,37845,2000,11200,0
20000,1,2,2,51,-1,-1,-2,-1,-1,-2,780,0,-1500,0,0,2280,0,0,0,0
290000,2,1,2,32,1,-2,-1,0,-1,-1,0,0,3786,0,3786,0,2881,2430,0,0
60000,2,2,1,42,0,0,0,0,0,0,61759,60399,38994,2600,2000,2000,1614,1590,2000,0
120000,2,3,1,42,-1,-1,-1,0,-1,0,2207,263,4531,263,4531,0,4015,0,1007,0
170000,2,1,2,27,-2,-2,-2,-2,-1,2,6504,1046,0,1046,0,0,910,0,532,0
100000,2,1,2,28,1,-1,-1,-2,-2,-2,290,930,977,1534,977,0,0,0,0,0
260000,2,1,2,36,-1,-1,-2,-2,-2,-1,2992,0,0,0,0,0,0,150,310,0
180000,2,2,2,30,0,0,0,0,0,0,63182,64274,55112,2166,2002,2200,2242,2100,2330,0
60000,1,1,2,24,0,0,0,0,0,0,20873,22228,22691,2000,1246,720,4780,1700,4000,0
90000,2,2,1,26,2,0,0,0,0,0,89947,91929,88433,5000,4300,3500,3500,3700,3100,1
150000,2,3,1,55,-2,-2,-2,-2,-2,-2,1194,2095,2154,2101,2160,3046,2519,3625,0,0
340000,1,3,1,29,0,0,0,0,0,0,332123,327362,324322,14000,12000,12000,12000,12000,12000,0
20000,1,2,1,47,-1,-1,-1,-2,-2,-2,390,780,0,780,0,0,0,0,0,0
20000,1,2,2,25,1,2,2,2,2,0,19242,20339,19707,1700,0,1800,0,1000,900,0
100000,2,3,1,39,0,0,0,0,0,0,39667,40704,41718,1649,1663,1471,1360,1212,4472,0
20000,1,1,1,53,0,0,0,0,0,0,13605,14629,15640,1249,1260,570,436,1150,1000,0
130000,1,1,2,30,0,0,2,0,0,0,90864,104418,100455,16000,0,1500,1395,1500,1511,0
180000,2,1,2,25,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
150000,2,2,2,28,-1,-1,-1,-1,-1,-1,8200,2500,7500,2500,7500,11478,7080,1651,43600,0
60000,1,3,3,43,0,0,0,0,0,0,70367,66657,63553,2415,3000,2125,2007,3000,1758,0
360000,2,1,2,33,-1,-1,-1,0,0,-1,1616,3700,6562,3700,6562,0,0,699,6041,0
300000,1,1,2,32,0,0,-1,0,0,-1,30749,50185,3342,20000,3342,0,0,3899,2346,0
20000,1,2,1,37,0,0,0,0,0,0,18419,18710,18929,1373,1384,615,600,0,0,0
100000,1,1,2,32,-1,-1,-2,-2,-2,-2,4270,0,0,0,0,0,0,0,0,0
80000,2,2,1,30,0,0,0,0,0,0,64596,64871,61000,4424,1600,0,1500,1500,1500,0
150000,2,1,2,30,0,0,0,0,0,0,150426,151052,143488,5520,5200,5100,5300,10900,0,0
50000,1,2,1,37,0,0,0,0,-2,-2,23607,24921,25775,2000,1800,0,0,0,0,0
80000,2,1,2,32,-1,-1,-1,-1,-1,-1,1147,1147,1147,1147,1147,1147,1100,5100,18500,0
70000,1,2,1,36,0,0,0,-2,-2,-2,27868,28850,0,1850,0,0,0,0,0,0
20000,1,2,1,52,0,0,0,0,0,0,15768,16792,18105,1285,1598,650,674,971,580,0
50000,2,4,1,32,0,0,0,0,0,0,10335,9538,6793,1200,1024,163,146,2000,1000,0
80000,1,1,2,29,-1,-1,2,0,0,0,2946,4599,1863,4599,0,1446,0,0,2493,0
30000,2,1,1,43,-1,-1,-1,-2,-2,-2,390,780,0,780,0,0,0,0,0,0
20000,1,2,2,30,2,2,2,0,0,0,20586,20568,20185,1300,700,700,1700,1600,700,1
100000,2,3,1,44,0,0,0,0,0,0,80808,77825,70721,3025,3000,3000,3000,3000,3000,0
20000,2,1,2,23,0,0,2,0,0,0,11672,8584,8279,2424,0,284,294,371,500,0
30000,2,2,1,27,0,0,2,2,2,2,21632,24267,24572,3300,1000,1000,1100,1000,1100,0
30000,2,2,1,30,3,2,2,-2,-2,-2,30583,29901,0,389,0,0,0,0,0,1
20000,2,2,1,29,-1,-1,-1,-1,0,0,1473,390,390,390,390,870,0,300,1500,0
110000,1,2,2,47,2,2,2,2,2,2,53016,56532,57502,5000,2500,2500,2500,0,5000,1
130000,2,2,1,40,-1,-1,-1,0,-1,-1,1445,1445,1651,1445,1651,0,390,0,780,0
220000,2,3,1,25,0,0,0,0,0,0,93674,123673,92036,3500,4846,3000,3000,3000,10000,0
20000,2,3,3,48,0,0,0,0,0,0,19590,19120,18932,1308,1593,800,700,741,531,0
140000,2,2,2,27,2,0,0,0,0,0,136308,137077,138919,5150,7750,5000,5379,5200,4850,1
210000,2,2,2,28,0,0,0,0,0,0,145643,133339,137000,4741,5778,1955,3370,1913,1998,0
20000,1,3,3,48,1,-2,-1,0,0,0,-739,-5978,16089,0,42400,289,201,410,0,0
50000,2,2,2,24,0,0,0,0,0,2,45537,46601,47276,2100,1760,1707,2602,1000,1640,0
30000,1,3,2,49,0,-1,-1,0,-1,-1,15966,240,17433,262,20416,852,29220,728,0,0
20000,1,3,1,39,0,0,0,0,0,0,16946,14960,12772,1529,1161,409,444,405,163,0
230000,2,2,1,43,-1,-1,-1,-1,-1,-1,3451,5560,1180,5587,1186,8605,5201,2532,4759,0
240000,2,1,1,36,-1,-1,-1,0,-1,-1,7058,4786,6853,4789,6853,113,7588,2737,0,0
360000,2,1,1,33,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,1
360000,2,1,1,41,0,0,0,0,0,0,100608,95511,96288,4000,6000,5000,4000,80000,5000,0
370000,2,2,2,28,0,0,0,0,0,0,87248,82477,71825,2896,2097,2000,1818,1044,28034,0
50000,2,1,2,24,0,0,0,0,0,0,50537,44686,38493,2554,1900,1355,1300,1300,1500,0
220000,1,2,1,40,-1,-1,-1,-1,-1,-1,2300,1000,11289,1000,11289,4887,3083,10020,6473,0
130000,1,1,2,28,2,2,2,-2,-2,-2,114144,102650,0,0,0,0,0,0,0,1
80000,2,2,2,26,0,0,0,0,0,0,46738,48237,49642,3001,3000,3000,3000,1637,2928,0
70000,2,2,2,25,0,0,0,0,0,0,19508,19633,19685,2000,2000,1000,2000,3003,3007,0
100000,2,1,2,32,1,2,0,0,-1,0,7130,6873,8101,0,1500,565,36252,1500,2500,0
200000,1,1,2,27,-2,-2,-2,-2,-2,-2,2436,3458,758,5963,760,0,752,26983,599,0
150000,2,3,2,23,0,0,0,0,0,0,6319,8190,6686,2000,1000,1000,0,63300,11632,0
150000,2,2,2,34,-1,-1,-1,-1,-1,-1,1467,698,4102,701,4137,719,817,5467,9587,0
130000,1,2,1,39,0,-1,-1,-1,-1,-1,10896,390,390,390,390,390,390,390,390,0
120000,2,2,2,38,0,0,0,0,0,0,33814,35033,36175,1766,1908,566,591,1000,626,0
50000,1,2,2,26,0,0,0,0,2,0,37862,17545,18537,1304,1296,1700,2,800,1000,0
20000,2,2,1,40,0,0,0,0,0,0,14492,15304,16035,1349,1080,562,500,456,218,0
270000,2,1,2,45,0,0,0,0,0,0,96131,98635,39177,4204,2819,93694,3948,4199,3309,0
60000,1,3,2,25,0,0,0,0,0,0,57530,59869,59942,3869,2742,1200,1461,1504,1683,0
30000,2,3,2,53,0,0,0,0,2,0,21101,21831,23457,1374,2000,1908,0,1100,1000,0
170000,2,1,2,29,-2,-2,-2,-1,0,0,0,0,0,0,0,10232,194,0,0,0
20000,2,1,2,26,0,0,0,0,0,0,18362,19669,16479,1640,1506,721,1000,1000,600,0
400000,1,1,2,32,0,0,0,0,0,2,21930,20489,20734,5028,5030,2012,4014,37,2013,0
50000,1,1,1,54,0,0,0,0,0,0,48768,49419,17303,2173,1287,631,653,658,832,0
140000,2,2,1,26,0,0,0,0,0,0,41547,40925,36775,2000,1800,1300,1400,1400,1000,0
260000,2,1,2,30,0,0,0,0,0,0,162241,137320,126479,5045,8016,5000,4000,4014,3000,0
380000,2,1,2,31,0,0,0,0,0,0,331697,332339,322995,15000,15000,20019,20000,9934,9330,0
50000,2,2,1,24,-2,-2,-2,-2,-2,-2,900,0,0,0,0,0,0,0,0,0
360000,1,1,1,48,0,0,0,0,0,0,167922,159433,126114,6206,10030,1061,1011,3016,189853,0
90000,2,2,2,53,0,0,0,-2,-2,-1,30045,30000,0,1000,0,0,0,439,20959,0
50000,2,3,1,35,2,2,2,2,0,0,49873,50796,49727,2200,568,0,516,400,300,1
30000,2,2,2,28,-1,-1,-2,-1,-1,-1,5688,-378,-378,0,0,1298,5448,0,10000,0
20000,1,1,2,24,0,0,0,0,0,0,13359,14438,15461,1300,1270,1000,1000,619,800,0
250000,2,1,2,30,0,0,0,0,-1,-1,21550,23932,37329,3500,15054,7885,4836,9655,5000,0
80000,1,2,2,30,0,0,0,-2,-2,-2,79813,82150,0,3750,0,0,0,0,0,0
180000,2,1,1,47,0,0,0,0,0,0,174648,104179,84940,5000,13000,3000,2700,6000,5000,0
70000,2,2,1,32,3,3,4,4,5,6,31507,33699,35839,3000,3000,3000,3000,3000,0,1
20000,1,3,1,41,0,0,0,2,0,0,13225,13655,14461,1700,2100,0,458,1000,1000,0
190000,1,1,2,36,1,2,2,2,2,2,153364,149482,160000,0,13000,0,13000,6100,0,1
240000,1,1,2,29,0,0,0,0,0,-1,61888,12310,12073,5022,4014,113,6423,120000,15000,0
150000,1,1,1,40,0,0,0,0,-1,0,123548,94995,52874,4221,3094,30454,100049,5098,30242,0
180000,1,1,2,38,0,0,0,0,0,0,141510,144439,146529,6700,6000,7000,6900,0,0,0
180000,2,1,2,33,0,0,0,0,0,0,94001,99558,106353,8000,10000,10000,4500,4500,5300,0
140000,1,2,1,46,0,0,0,0,0,-1,133899,137171,139414,5425,4979,3715,4498,86728,2412,0
30000,1,3,2,25,0,0,0,0,0,2,22821,23846,24864,1397,1415,911,2051,0,1500,0
20000,1,2,1,39,2,2,2,2,2,2,20591,20284,20645,1500,1000,718,3,1800,0,1
180000,2,2,1,28,-2,-2,-2,-2,-2,-2,454,14213,10621,14213,10628,7826,1707,15087,5379,0
60000,1,3,1,57,0,0,0,0,0,0,20865,16590,10816,1262,1003,0,1050,0,0,0
500000,2,1,1,38,-2,-2,-2,-2,-2,-2,913,9724,9350,9782,9350,6972,11879,15574,12921,0
10000,1,2,2,23,0,0,0,0,0,0,5324,6509,7313,1279,1083,500,1000,1000,142,0
280000,2,1,1,34,0,0,0,0,0,0,232834,218803,202031,9001,6369,3864,3501,3001,1701,0
240000,2,1,1,47,1,-2,-2,-1,0,0,-40,-40,-40,0,0,1200,0,0,0,0
10000,1,2,2,23,-1,-1,0,-1,-1,-1,1504,6007,6470,6007,1000,390,0,780,0,0
240000,1,3,1,43,0,0,0,0,0,0,191453,193548,190288,8500,8300,7000,7000,7000,6500,0
80000,1,1,2,27,1,-2,-2,-1,0,0,0,0,0,0,0,8956,0,0,0,1
10000,1,2,2,23,2,0,0,0,0,0,8638,8958,9414,1294,1150,480,500,348,402,1
150000,1,3,1,35,2,2,2,0,0,0,135215,137863,130622,6000,30,5050,5025,5000,3000,1
40000,2,2,1,27,1,2,0,0,0,0,11310,10842,12896,0,2554,2000,3000,1000,3000,0
150000,1,3,1,58,-2,-2,-2,-2,-1,2,0,0,0,0,0,0,7043,0,3063,0
10000,1,2,2,34,0,0,0,0,0,0,8097,9109,10125,1151,2167,369,391,436,200,0
20000,2,2,2,53,4,4,3,3,2,2,18396,17826,18547,0,1300,1170,0,1600,0,1
80000,2,1,2,24,-1,-1,-1,-1,0,-1,3940,4115,84,4117,84,8708,20,2795,0,0
320000,2,1,2,34,-2,-2,-2,-2,-2,-2,-532,-532,-528,0,4,0,0,0,0,0
50000,2,2,2,25,0,0,0,0,0,0,30857,28481,27634,1800,1400,915,1500,1500,2000,0
50000,2,3,1,30,-2,-2,-2,-2,-2,-2,0,614,0,614,0,0,0,0,0,0
250000,2,2,2,32,0,0,0,0,0,0,72618,72972,43497,3800,3000,4500,3000,5000,6000,0
360000,1,1,2,30,-1,-1,-1,0,-1,-1,28245,8017,19703,8057,19764,37,2752,9573,25462,0
80000,1,1,1,38,0,0,0,2,0,0,39410,41460,46307,3000,6000,0,2033,5000,1500,0
180000,2,2,2,30,0,0,0,-1,-1,-1,101281,102650,0,4650,0,975,4645,1000,0,0
30000,1,1,2,47,2,0,0,0,2,2,25690,26719,27774,1445,1500,1500,2200,0,1200,1
230000,1,2,2,27,-1,-1,-1,-1,-1,-1,396,396,396,396,396,396,396,546,396,0
400000,1,1,2,46,0,-1,0,0,-1,-1,10965,9280,13582,9283,7276,7,417,10802,21202,0
20000,1,2,2,38,0,0,0,0,0,0,17760,19646,17922,6500,2000,2000,1500,1000,1000,0
80000,2,2,2,38,0,0,0,0,0,0,70590,62162,51770,2200,2000,2015,1700,1700,2000,0
20000,1,2,1,41,-1,-1,-1,-1,-1,-1,9598,0,2889,0,2889,0,1448,0,0,0
50000,1,1,2,23,0,0,0,0,0,0,48954,35213,33404,2000,4005,1000,1000,6000,1000,0
450000,1,1,1,46,-1,-1,-1,-1,-1,-1,1135,1135,1135,1135,1135,1135,1135,1135,1135,0
310000,2,1,2,32,-1,-1,-1,-1,-2,-2,13560,-65,6500,0,6565,0,0,0,0,0
250000,2,1,2,30,0,0,0,0,0,0,156155,153647,153535,5560,6809,5443,5376,5665,6000,0
50000,1,1,2,25,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
240000,2,3,2,31,-1,-1,-2,-2,-2,-2,298,0,0,0,0,0,0,0,0,0
100000,2,2,1,39,-2,-2,-2,-2,-2,-2,0,0,0,0,0,7700,0,0,0,0
80000,2,2,1,26,2,2,2,2,2,2,27458,28522,27770,1800,0,2400,1200,1200,1200,1
50000,1,3,1,24,0,0,0,0,0,0,48497,49564,19207,2089,1580,1000,1000,1500,1500,0
210000,2,2,2,29,0,0,-1,-1,0,0,14073,13034,2569,2059,2576,36120,1093,2968,1430,0
500000,1,1,1,51,0,0,0,0,0,0,225233,235045,244517,15000,15006,10000,10000,12000,15000,0
390000,2,3,1,53,-1,-1,-1,-1,-1,0,2820,513,55120,513,55120,2011,380,0,0,0
80000,2,1,2,25,1,2,0,0,2,2,5999,5758,7039,0,1416,943,100,443,0,1
20000,2,3,3,39,0,0,0,0,0,0,18988,15975,16579,1400,4500,2500,3240,3000,4000,0
50000,1,2,1,33,2,0,-1,-1,-1,0,42923,42803,1473,2330,1473,390,1573,0,780,0
430000,2,2,1,32,-2,-2,-1,2,0,0,-15308,-33350,95740,8,145740,7,2500,2021,2000,0
80000,2,1,1,32,-2,-2,-2,-2,-2,-2,871,3179,3344,3381,3384,3958,0,0,0,0
170000,1,2,1,38,0,0,0,0,0,-1,157174,139101,192575,9900,83200,0,3006,132854,5003,0
180000,2,1,2,31,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
360000,2,1,2,42,-2,-1,-1,-1,-1,-2,45603,29788,2950,29882,2950,6366,11480,222,4285,0
230000,2,4,2,52,0,0,0,0,0,0,155131,156687,153635,6641,6015,2663,5015,100095,5027,0
50000,1,3,1,43,0,0,0,0,0,0,5653,16890,17606,11340,1300,641,751,573,476,0
70000,1,3,3,26,1,2,2,0,0,0,39073,40154,39214,2000,0,1600,2000,2700,1500,0
170000,2,2,1,30,-1,-1,0,0,0,2,2457,4599,25158,4599,23000,40000,4418,0,2800,0
400000,2,1,1,32,1,-1,-1,-1,-1,-1,0,3328,3328,6656,3328,3828,4893,4687,3008,0
450000,1,1,1,33,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,389,992,780,0
250000,2,1,2,40,-1,-1,-1,-1,-1,-1,3264,2395,2986,2395,2991,25185,500,2162,0,0
260000,1,1,2,36,0,0,0,0,0,0,97626,99675,59934,5195,2961,3000,5000,2700,2800,0
110000,1,2,1,34,0,0,0,0,0,0,102638,101681,100316,4600,4000,4000,3800,4000,4000,0
200000,2,2,1,34,0,0,0,0,0,0,68262,53329,44222,2791,2668,1820,2000,882,600,0
240000,2,1,1,36,-1,-1,-1,-1,-1,-1,12181,6746,12104,6746,12104,2788,4084,3288,4788,0
300000,2,1,2,48,2,0,0,0,0,0,304040,305627,305697,11500,12000,10000,10500,10000,10000,1
20000,1,3,1,69,0,0,0,0,0,0,18516,19193,18578,1700,2000,2000,2000,831,400,0
60000,2,3,1,51,1,-1,-1,-1,-1,-2,0,724,0,724,0,785,0,0,0,0
290000,2,1,1,45,-2,-2,-2,-2,-2,-2,1092,1335,1222,1335,1222,1513,2661,2436,37015,0
110000,2,2,2,24,0,0,0,0,0,0,49782,50858,51780,1878,1800,2647,1892,1901,1728,0
120000,2,1,1,51,0,0,0,0,0,2,120290,116082,118405,6000,6000,4000,9000,0,5000,0
20000,1,3,2,56,0,0,0,0,0,0,15552,16596,17609,1300,1300,700,800,602,600,0
200000,2,3,1,57,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
290000,2,2,1,48,-2,-2,-2,-2,-2,-2,10608,34470,11888,34470,11890,27114,3501,12511,5797,0
480000,1,2,1,39,0,0,0,0,0,0,428927,436425,300134,15000,30000,20000,12000,12500,12200,0
200000,1,3,1,29,-1,-1,-1,-1,-1,-1,15456,46620,22935,46722,22985,8346,971,4296,21767,0
160000,1,1,1,49,-1,-1,2,-1,-1,-1,316,632,316,632,0,316,316,316,316,0
110000,2,2,2,23,0,0,0,0,0,0,34486,43872,45140,10000,2000,2500,2000,2000,2000,0
110000,2,4,1,37,0,0,0,0,0,0,70204,69876,69584,2745,2800,2200,2200,2207,3003,0
160000,1,1,2,30,-1,-1,-1,-1,-1,-1,4180,7781,1256,7781,1276,14160,6180,2000,290,0
440000,2,4,2,29,0,0,0,0,0,0,217407,219860,265058,8005,50000,7000,9000,0,1058,0
30000,1,2,2,28,2,0,0,2,2,2,26177,27249,29473,1800,3000,0,2400,0,1600,1
260000,1,2,1,34,0,0,0,0,0,0,176688,179281,180957,6929,5088,4138,4789,2450,1507,0
100000,1,2,1,35,-1,-1,-1,-1,-1,-1,1131,291,291,291,291,291,291,502,80,0
260000,1,2,1,31,0,0,0,0,-2,-2,12695,9277,7065,4005,4150,0,0,0,0,0
80000,1,2,1,34,1,2,2,0,0,0,64575,65961,64308,3000,0,2400,2500,9000,0,0
220000,1,1,1,42,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
160000,1,2,1,37,2,-1,-1,-1,-1,-1,833,833,833,833,833,833,833,833,833,0
30000,1,2,1,39,1,2,0,0,0,0,30559,26457,27469,129,1456,1000,1050,1500,1505,0
210000,2,1,2,30,-1,-1,-1,-1,0,0,7056,2881,1166,3033,1172,13940,0,0,0,0
60000,2,1,2,23,0,0,0,0,0,0,17191,17864,18408,1700,1600,1000,1000,1000,2000,0
50000,1,2,2,38,0,0,0,-2,-2,-2,26533,16426,0,1000,0,0,0,0,0,0
340000,2,2,2,27,-1,-1,-1,-1,-1,-1,24583,1954,11271,1964,11337,6591,1933,10072,33,0
180000,1,2,2,40,-1,-1,-1,-2,-2,-2,4289,1000,0,1000,0,0,0,0,10443,0
20000,1,3,2,38,0,0,0,0,0,0,18878,19286,18977,1318,1289,647,669,664,682,0
30000,2,2,2,28,0,0,0,0,0,3,15280,16230,17153,1500,1500,780,2600,0,900,0
360000,2,1,2,33,-2,-1,2,-1,0,0,0,883,887,883,4,26514,557,550,2500,0
270000,2,2,1,33,0,0,0,0,0,0,121065,96197,92217,3500,3349,3400,3800,3300,2601,0
130000,2,2,1,37,0,0,0,0,0,0,3811,8692,10467,5000,2000,0,2500,0,0,0
10000,1,2,2,26,1,4,3,2,0,0,9526,9240,8950,0,0,0,468,929,0,1
170000,1,1,2,34,1,2,2,2,0,0,23535,22876,25674,0,3503,0,1078,1215,1000,1
440000,2,2,1,28,-2,-2,-2,-2,-2,-2,8325,-4341,-15641,0,752,34000,284,3650,52719,0
310000,1,1,2,32,0,0,0,0,0,-1,6023,23782,26024,18000,3000,1500,500,6579,40200,0
20000,1,1,2,23,0,0,0,0,0,-2,18436,19219,6140,1500,1000,0,0,0,0,0
400000,2,2,2,30,2,0,0,0,0,0,24054,25381,26085,1624,1328,1022,3000,1000,1171,1
80000,2,1,2,25,0,0,0,0,0,0,45392,46723,41986,5000,2000,2000,2000,3000,2000,0
200000,2,2,1,29,0,0,0,0,0,-2,204541,170572,80620,7186,3900,3900,0,0,0,0
120000,1,2,2,35,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
90000,2,2,1,43,-2,-2,-2,-2,-2,-2,7489,5798,15112,5833,15114,0,0,0,0,0
130000,2,1,1,30,0,0,0,0,-1,-1,9255,10264,7060,1204,1000,3990,3000,0,200,0
280000,2,1,2,35,-1,2,2,-1,2,-1,199,199,-127,0,0,1548,0,982,601,1
380000,1,1,2,27,-1,0,0,0,0,0,73903,66541,58665,2924,2555,1515,37056,2413,1522,0
220000,1,2,1,39,5,4,3,2,0,0,187665,175338,163018,0,11,0,4561,5007,170806,1
200000,1,2,1,34,-1,-1,-1,-1,-1,0,170,1512,-15,1525,0,1082,2179,2013,165,0
240000,2,2,2,26,0,0,0,0,0,0,138859,136521,135459,5308,4915,4100,4000,4002,4000,0
200000,2,2,2,32,0,0,0,0,0,0,165074,170905,186093,10000,20000,6000,5300,5500,4600,0
80000,1,2,2,30,2,2,2,2,2,2,73113,74639,75408,3300,2600,3000,3000,1580,5800,1
270000,1,2,1,49,-2,-2,-2,-2,-2,-2,-173,-173,-173,0,0,0,0,0,0,0
200000,2,1,1,33,-2,-2,-1,0,0,-1,0,225,5628,225,5628,23,16378,4850,2255,0
110000,1,3,1,50,0,0,0,0,0,0,109192,106322,67727,4300,3000,2000,1700,1800,1664,0
80000,2,2,1,24,-1,0,0,-1,-1,-2,1462,2472,0,1502,0,492,0,0,0,0
30000,1,2,2,36,-1,-1,2,-1,-1,-1,3024,3462,390,3462,0,240,2300,780,0,0
170000,2,1,2,30,1,-2,-1,-1,-2,-2,0,0,550,0,550,0,0,0,0,0
50000,2,3,1,36,0,0,0,0,0,0,46311,47579,47897,2014,1332,698,310,500,330,0
460000,1,1,2,36,-1,-1,-1,0,0,0,11469,13749,32838,13766,32871,21000,165,3551,28979,0
70000,2,3,2,25,0,0,0,0,2,0,68658,68618,61208,4500,2783,25000,0,3000,6000,0
200000,2,3,2,51,0,0,0,0,0,0,196875,180428,131111,7657,4814,3921,4000,4365,11000,0
70000,1,2,2,24,3,2,2,2,2,2,63000,64397,65253,3000,2500,0,6000,2500,2700,1
190000,1,1,2,30,-1,-1,-1,-1,-1,-1,25953,1590,478,1698,478,10035,24345,1191,14512,0
10000,2,1,2,24,2,0,0,2,2,2,6524,7559,9564,1300,2300,0,900,500,0,1
210000,2,1,2,26,1,2,2,0,0,0,120098,121222,117783,4500,0,4302,4455,4523,4516,0
170000,2,1,1,35,0,0,-1,-1,-1,-1,86239,75600,2800,1512,2800,21881,0,6780,530,0
360000,2,1,2,34,-1,-1,-1,-1,-1,-1,8871,6378,26648,6411,26987,6740,3467,0,239400,0
120000,2,2,2,33,0,0,0,0,0,0,120411,122717,118886,6300,6100,4600,5000,4800,5000,0
280000,2,3,2,46,-2,-2,-2,-2,-2,-2,1401,5201,3615,5201,3615,1963,2086,1297,1154,0
80000,2,2,2,25,-1,-1,-1,-1,-1,-1,3002,1921,13454,1921,13454,1807,3560,3337,6240,0
100000,2,2,2,37,1,2,-1,-1,-2,-2,3492,3293,326,10,650,324,0,1367,4166,0
50000,1,2,1,42,0,0,0,0,0,0,35255,21317,22252,1690,1620,900,780,750,1670,0
120000,1,2,2,34,-1,-1,-1,-1,-1,-1,856,856,856,856,856,856,856,856,2664,0
240000,2,2,1,42,1,2,0,0,-1,-1,15100,14557,24893,0,14782,0,2381,2381,0,0
20000,2,2,1,23,1,2,2,2,2,3,7979,8700,9907,1000,1500,0,5000,5000,900,1
210000,1,2,1,46,-2,-2,-2,-2,-2,-2,0,1828,765,1828,765,0,0,0,0,0
80000,2,2,1,26,0,0,0,0,0,0,75405,75681,72263,3000,2200,1730,1800,2500,3000,0
80000,2,1,2,32,0,0,0,0,2,2,60918,62445,63905,2500,2500,5100,2100,3000,3000,0
100000,2,1,2,25,0,0,0,0,0,0,11801,12905,14378,1600,2000,1000,1000,1500,0,0
220000,1,3,1,58,0,0,0,-2,-2,-1,22599,23875,0,1875,0,0,0,52884,105660,0
50000,1,2,1,32,0,0,0,0,0,0,50669,48942,27836,1613,1484,3675,698,1000,706,0
20000,2,2,1,39,1,2,0,0,0,0,19565,18968,19612,0,1300,717,1000,2000,1000,1
250000,2,1,2,28,2,2,2,0,0,0,21404,48774,28705,28705,0,4000,3000,1500,1000,1
200000,1,2,2,36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
200000,2,2,1,42,-1,-1,-1,-1,-1,-1,1261,0,2521,0,2521,6935,2255,3021,0,0
60000,1,1,1,38,2,2,2,0,0,0,59310,60482,58748,2700,0,2100,1600,1600,1600,1
60000,1,2,2,22,0,0,0,0,0,0,59575,51991,35435,2051,1653,680,700,700,693,0
30000,2,2,2,26,2,2,2,0,0,2,23064,25479,24705,3100,0,791,1699,0,1000,1
240000,2,2,2,34,-1,-1,-1,-1,-1,-1,3403,2858,3619,3502,4099,3500,3228,3127,2221,0
280000,2,2,2,24,-1,-1,-1,-1,-1,-2,1481,11884,-27,11943,0,5470,0,0,0,0
200000,2,1,2,29,0,0,0,-2,-1,0,53493,3123,3221,1060,1000,66,65437,2422,2418,0
